,category,deadline,funded,goal,phase,progress,project,sponsor,sponsor_page,status,supports
0,科技,2016-05-20 00:00:00,4048673,1000000,项目成功,405,55°+ELKAY净水机,55度智慧生活,https://z.jd.com/funderCenter.action?flag=2&id=52167,已筹到,8975
1,科技,2016-05-21 00:00:00,119029,100000,项目成功,119,KamLan全画幅单反镜头,KamLan服务人员,https://z.jd.com/funderCenter.action?flag=2&id=46987,已筹到,759
2,科技,2016-05-12 00:00:00,213402,200000,项目成功,107,OVEVO车充蓝牙耳机,OVEVO旗舰店,https://z.jd.com/funderCenter.action?flag=2&id=52601,已筹到,1028
3,科技,2016-05-21 00:00:00,149014,100000,项目成功,149,【未来猫】有电的地方就有网,未来猫Future,https://z.jd.com/funderCenter.action?flag=2&id=52104,已筹到,1185
4,科技,2016-06-05 00:00:00,586656,250000,项目成功,235,Nut 3智能防丢轻生活,纳特君,https://z.jd.com/funderCenter.action?flag=2&id=52162,已筹到,2189
5,科技,2016-05-22 00:00:00,505873,500000,项目成功,101,D拓手机U盘数据线,迪沃DEVIA,https://z.jd.com/funderCenter.action?flag=2&id=51831,已筹到,5159
6,科技,2016-05-19 00:00:00,1726778,300000,项目成功,576,雷神K7金属炫彩机械键盘,雷神科技,https://z.jd.com/funderCenter.action?flag=2&id=52476,已筹到,28241
7,科技,2015-10-07 00:00:00,425810,100000,项目成功,426,网视无忧宝宝监护移动摄像机,网视无忧网络摄像机,https://z.jd.com/funderCenter.action?flag=2&id=22661,已筹到,6213
8,科技,2015-10-18 00:00:00,1160914,200000,项目成功,580,LIVALL智能自行车,LIVALL,https://z.jd.com/funderCenter.action?flag=2&id=23502,已筹到,33388
9,科技,2015-10-06 00:00:00,10076,10000,项目成功,101,急皮士户外智能徒步鞋,老冯80,https://z.jd.com/funderCenter.action?flag=2&id=21752,已筹到,242
10,科技,2015-10-07 00:00:00,1091751,100000,项目成功,1092,优派“氧吧”防辐射显示器,请讲道理,https://z.jd.com/funderCenter.action?flag=2&id=22940,已筹到,10190
11,科技,2015-10-07 00:00:00,542489,500000,项目成功,108,第吉尔·用微信控制的指纹锁,品译,https://z.jd.com/funderCenter.action?flag=2&id=23412,已筹到,699
12,科技,2015-07-05 00:00:00,1856908,10000,项目成功,18569,Himama智能备孕仪,呢子乐,https://z.jd.com/funderCenter.action?flag=2&id=6730,已筹到,7761
13,设计,2015-10-08 00:00:00,34792,10000,项目成功,348,富基仕LED智能移动电源,富基仕科技有限公司,https://z.jd.com/funderCenter.action?flag=2&id=23618,已筹到,1849
14,家电,2016-05-30 00:00:00,1497328,1000000,项目成功,150,惠迪天然果蔬自制面膜机,纽得赛美容电器,https://z.jd.com/funderCenter.action?flag=2&id=52169,已筹到,2035
15,科技,2015-10-08 00:00:00,1508882,50000,项目成功,3018,安佳云血压计 坚持测就免费,安佳云健康,https://z.jd.com/funderCenter.action?flag=2&id=23134,已筹到,2103
16,科技,2015-10-23 00:00:00,2308869,100000,项目成功,2309,刀客金属4G-LTE超极本,西域传奇科技,https://z.jd.com/funderCenter.action?flag=2&id=21769,已筹到,63784
17,科技,2015-10-23 00:00:00,1065168,50000,项目成功,2130,快轮Ring空心轮平衡车,快轮智能科技,https://z.jd.com/funderCenter.action?flag=2&id=23516,已筹到,9143
18,科技,2015-10-23 00:00:00,407114,100000,项目成功,407,铛铛智能门铃，您的安全管家,赛蓝科技,https://z.jd.com/funderCenter.action?flag=2&id=21739,已筹到,5636
19,科技,2015-10-06 00:00:00,169536,10000,项目成功,1695,碳纤维耳机，聆听极致的声音,jd傲胜数码专营,https://z.jd.com/funderCenter.action?flag=2&id=21094,已筹到,4538
20,科技,2015-10-23 00:00:00,681471,100000,项目成功,681,30迈超能自行车,亿路骑科技,https://z.jd.com/funderCenter.action?flag=2&id=23608,已筹到,29783
21,科技,2015-12-26 00:00:00,114918,100000,项目成功,115,一双上班穿的智能跑鞋！,Intelfit,https://z.jd.com/funderCenter.action?flag=2&id=28344,已筹到,556
22,科技,2015-12-26 00:00:00,228604,10000,项目成功,2286,来自台湾的3D光动力净化器,三角形科技,https://z.jd.com/funderCenter.action?flag=2&id=29502,已筹到,1410
23,科技,2015-12-11 00:00:00,358829,100000,项目成功,359,最墙音壁挂智能家居音响,FDY菲迪亚,https://z.jd.com/funderCenter.action?flag=2&id=25041,已筹到,1552
24,科技,2015-12-16 00:00:00,201092,20000,项目成功,1005,指尖上的HIFI播放器,earlisten,https://z.jd.com/funderCenter.action?flag=2&id=29788,已筹到,861
25,科技,2015-12-31 00:00:00,266756,20000,项目成功,1334,Lehoo智能便携保姆杯,Lehoo久坐提醒款,https://z.jd.com/funderCenter.action?flag=2&id=29626,已筹到,8341
26,科技,2015-10-16 00:00:00,1014337,500000,项目成功,203,smaradio智能收音机,smaradio耳总,https://z.jd.com/funderCenter.action?flag=2&id=23498,已筹到,3107
27,科技,2015-10-31 00:00:00,1207592,100000,项目成功,1208,RemixMini安卓电脑,技德科技Remix,https://z.jd.com/funderCenter.action?flag=2&id=24444,已筹到,9802
28,科技,2015-10-17 00:00:00,602450,500000,项目成功,120,omimo虚拟现实一体机,巅峰科技股份,https://z.jd.com/funderCenter.action?flag=2&id=24069,已筹到,2417
29,科技,2015-05-25 00:00:00,183924,100000,项目成功,184,果壳WIFI智能音响,果壳智能音响,https://z.jd.com/funderCenter.action?flag=2&id=11328,已筹到,1800
30,科技,2015-10-31 00:00:00,60638,50000,项目成功,121,气动按摩腰靠，您专属按摩师,柏烁汽车用品专营店,https://z.jd.com/funderCenter.action?flag=2&id=23141,已筹到,502
31,科技,2015-10-26 00:00:00,4419665,1000000,项目成功,442,优盾UT Air+,优盾空气,https://z.jd.com/funderCenter.action?flag=2&id=23176,已筹到,1692
32,科技,2015-10-16 00:00:00,795467,50000,项目成功,1591,莱仕邦智能电动折叠跑步机,LifeSpan莱仕邦,https://z.jd.com/funderCenter.action?flag=2&id=23486,已筹到,2011
33,科技,2015-10-17 00:00:00,682837,100000,项目成功,683,车小米M1语驾行车记录仪,车-小-米,https://z.jd.com/funderCenter.action?flag=2&id=24062,已筹到,3548
