"类别","统计项","统计值","统计类型"
"1","出版","项目",162,"总数"
"2","公益","项目",159,"总数"
"3","家电","项目",253,"总数"
"4","健康","项目",223,"总数"
"5","科技","项目",1917,"总数"
"6","其他","项目",759,"总数"
"7","设计","项目",483,"总数"
"8","娱乐","项目",287,"总数"
"9","出版","筹集资金",22214552,"总数"
"10","公益","筹集资金",8362835,"总数"
"11","家电","筹集资金",148052991,"总数"
"12","健康","筹集资金",35075531,"总数"
"13","科技","筹集资金",1527166038,"总数"
"14","其他","筹集资金",305886637,"总数"
"15","设计","筹集资金",100799612,"总数"
"16","娱乐","筹集资金",56894169,"总数"
"17","出版","筹集目标",3000000,"最大值"
"18","公益","筹集目标",1000000,"最大值"
"19","家电","筹集目标",5000000,"最大值"
"20","健康","筹集目标",1000000,"最大值"
"21","科技","筹集目标",10000000,"最大值"
"22","其他","筹集目标",8000000,"最大值"
"23","设计","筹集目标",1000000,"最大值"
"24","娱乐","筹集目标",10000000,"最大值"
"25","出版","筹集目标",39268.537037037,"均值"
"26","公益","筹集目标",36741.534591195,"均值"
"27","家电","筹集目标",160163.956521739,"均值"
"28","健康","筹集目标",60718.668161435,"均值"
"29","科技","筹集目标",183232.189880021,"均值"
"30","其他","筹集目标",97399.5046113307,"均值"
"31","设计","筹集目标",55745.9523809524,"均值"
"32","娱乐","筹集目标",140211.285714286,"均值"
"33","出版","筹集目标",10000,"中位值"
"34","公益","筹集目标",10000,"中位值"
"35","家电","筹集目标",100000,"中位值"
"36","健康","筹集目标",50000,"中位值"
"37","科技","筹集目标",100000,"中位值"
"38","其他","筹集目标",50000,"中位值"
"39","设计","筹集目标",50000,"中位值"
"40","娱乐","筹集目标",20000,"中位值"
"41","出版","完成度",4368700,"最大值"
"42","公益","完成度",252600,"最大值"
"43","家电","完成度",58844,"最大值"
"44","健康","完成度",10593,"最大值"
"45","科技","完成度",85497,"最大值"
"46","其他","完成度",533550,"最大值"
"47","设计","完成度",12613,"最大值"
"48","娱乐","完成度",3123900,"最大值"
"49","出版","完成度",276.5,"中位值"
"50","公益","完成度",125,"中位值"
"51","家电","完成度",201,"中位值"
"52","健康","完成度",165,"中位值"
"53","科技","完成度",248,"中位值"
"54","其他","完成度",154,"中位值"
"55","设计","完成度",169,"中位值"
"56","娱乐","完成度",123,"中位值"
"57","出版","支持数",11921,"最大值"
"58","公益","支持数",41733,"最大值"
"59","家电","支持数",77345,"最大值"
"60","健康","支持数",32231,"最大值"
"61","科技","支持数",359592,"最大值"
"62","其他","支持数",179042,"最大值"
"63","设计","支持数",26739,"最大值"
"64","娱乐","支持数",12314,"最大值"
"65","出版","支持数",748.592592592593,"均值"
"66","公益","支持数",1117.83018867925,"均值"
"67","家电","支持数",2777.52964426877,"均值"
"68","健康","支持数",1880.90582959641,"均值"
"69","科技","支持数",4075.74856546688,"均值"
"70","其他","支持数",1933.00790513834,"均值"
"71","设计","支持数",1363.8281573499,"均值"
"72","娱乐","支持数",673.003484320558,"均值"
"73","出版","支持数",307,"中位值"
"74","公益","支持数",495,"中位值"
"75","家电","支持数",1314,"中位值"
"76","健康","支持数",517,"中位值"
"77","科技","支持数",1540,"中位值"
"78","其他","支持数",510,"中位值"
"79","设计","支持数",558,"中位值"
"80","娱乐","支持数",223,"中位值"
